สรุปภาพรวมการเสนอคำขอรับการสนุบสนุนงบประมาณเงินอุดหนุนเฉพาะกิจขององค์กรปกครองส่วนท้องถิ่น (เทศบาลตำบลและองค์การบริหารส่วนตำบล),,,,,,,,,,,,,,,
ประจำปีงบประมาณ พ.ศ. 2566,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, หน่วย : บาท
ลำดับ,จังหวัด,จังหวัด,อำเภอ,ประเภท,อปท.,คำขอ อปท. (ทต. และ อบต.) ผ่านระบบ SOLA,,,,สถ. ทำคำขอในระบบ e-Budgeting,,,,พ.ร.บ. งบประมาณรายจ่ายประจำปี 66,
,,,,,,รายการ, งบประมาณรวม, คำขอเงินอุดหนุน, เงินสมทบ,รายการ, งบประมาณรวม, คำขอเงินอุดหนุน, เงินสมทบ,รายการ, งบประมาณ
,,,,,,"5,434", แห่ง,,,"5,347", แห่ง,,,"5,640", แห่ง
41,กระบี่ เหนือคลอง ทต.เหนือคลอง,กระบี่,เหนือคลอง,ทต.,ทต.เหนือคลอง,3,"  7,150,000 ","  7,150,000 ",  -   ,3 ,"  6,650,000 ","  6,650,000 ",  -   ,1 ,"  550,000 "
42,กระบี่ เหนือคลอง อบต.เกาะศรีบอยา,กระบี่,เหนือคลอง,อบต.,อบต.เกาะศรีบอยา,2,"  28,692,000 ","  26,477,300 ","  2,214,700 ",2 ,"  6,545,000 ","  6,545,000 ",  -   ,1 ,"  6,545,000 "
43,กระบี่ เหนือคลอง อบต.คลองขนาน,กระบี่,เหนือคลอง,อบต.,อบต.คลองขนาน,0,  -   ,  -   ,  -   ,0 ,  -   ,  -   ,  -   ,1 ,"  18,700 "
44,กระบี่ เหนือคลอง อบต.คลองเขม้า,กระบี่,เหนือคลอง,อบต.,อบต.คลองเขม้า,5,"  6,762,000 ","  6,762,000 ",  -   ,5 ,"  6,862,000 ","  6,862,000 ",  -   ,3 ,"  3,035,700 "
45,กระบี่ เหนือคลอง อบต.โคกยาง,กระบี่,เหนือคลอง,อบต.,อบต.โคกยาง,4,"  12,303,200 ","  12,303,200 ",  -   ,4 ,"  12,403,200 ","  12,403,200 ",  -   ,3 ,"  4,371,900 "
46,กระบี่ เหนือคลอง อบต.ตลิ่งชัน,กระบี่,เหนือคลอง,อบต.,อบต.ตลิ่งชัน,0,  -   ,  -   ,  -   ,0 ,  -   ,  -   ,  -   ,1 ,"  18,700 "
47,กระบี่ เหนือคลอง อบต.ปกาสัย,กระบี่,เหนือคลอง,อบต.,อบต.ปกาสัย,6,"  32,825,600 ","  32,825,600 ",  -   ,6 ,"  24,030,600 ","  24,030,600 ",  -   ,2 ,"  6,231,600 "
48,กระบี่ เหนือคลอง อบต.ห้วยยูง,กระบี่,เหนือคลอง,อบต.,อบต.ห้วยยูง,1,"  7,080,000 ","  7,080,000 ",  -   ,1 ,"  7,080,000 ","  7,080,000 ",  -   ,2 ,"  7,098,700 "
49,กระบี่ เหนือคลอง อบต.เหนือคลอง,กระบี่,เหนือคลอง,อบต.,อบต.เหนือคลอง,0,  -   ,  -   ,  -   ,0 ,  -   ,  -   ,  -   ,1 ,"  18,700 "
50,กระบี่ อ่าวลึก ทต.แหลมสัก,กระบี่,อ่าวลึก,ทต.,ทต.แหลมสัก,4,"  23,365,800 ","  23,365,800 ",  -   ,3 ,"  13,499,200 ","  13,499,200 ",  -   ,2 ,"  10,999,200 "
51,กระบี่ อ่าวลึก ทต.อ่าวลึกใต้,กระบี่,อ่าวลึก,ทต.,ทต.อ่าวลึกใต้,4,"  8,378,000 ","  8,378,000 ",  -   ,4 ,"  8,378,000 ","  8,378,000 ",  -   ,1 ,"  1,604,000 "
52,กระบี่ อ่าวลึก อบต.เขาใหญ่,กระบี่,อ่าวลึก,อบต.,อบต.เขาใหญ่,1,"  2,400,000 ","  2,400,000 ",  -   ,0 ,  -   ,  -   ,  -   ,1 ,"  18,700 "
53,กระบี่ อ่าวลึก อบต.คลองยา,กระบี่,อ่าวลึก,อบต.,อบต.คลองยา,3,"  20,631,200 ","  20,631,200 ",  -   ,3 ,"  10,842,600 ","  10,842,600 ",  -   ,1 ,"  6,146,800 "
54,กระบี่ อ่าวลึก อบต.คลองหิน,กระบี่,อ่าวลึก,อบต.,อบต.คลองหิน,4,"  28,975,000 ","  28,975,000 ",  -   ,4 ,"  18,223,700 ","  18,223,700 ",  -   ,1 ,"  5,430,000 "
55,กระบี่ อ่าวลึก อบต.นาเหนือ,กระบี่,อ่าวลึก,อบต.,อบต.นาเหนือ,0,  -   ,  -   ,  -   ,0 ,  -   ,  -   ,  -   ,1 ,"  18,700 "
56,กระบี่ อ่าวลึก อบต.บ้านกลาง,กระบี่,อ่าวลึก,อบต.,อบต.บ้านกลาง,1,"  9,436,000 ","  9,436,000 ",  -   ,1 ,  -   ,  -   ,  -   ,0 ,  -   
57,กระบี่ อ่าวลึก อบต.แหลมสัก,กระบี่,อ่าวลึก,อบต.,อบต.แหลมสัก,4,"  10,983,300 ","  10,983,300 ",  -   ,3 ,"  8,583,300 ","  8,583,300 ",  -   ,3 ,"  3,402,000 "
58,กระบี่ อ่าวลึก อบต.อ่าวลึกใต้,กระบี่,อ่าวลึก,อบต.,อบต.อ่าวลึกใต้,3,"  10,376,600 ","  10,376,600 ",  -   ,3 ,"  10,476,600 ","  10,476,600 ",  -   ,2 ,"  5,325,000 "
59,กระบี่ อ่าวลึก อบต.อ่าวลึกน้อย,กระบี่,อ่าวลึก,อบต.,อบต.อ่าวลึกน้อย,3,"  4,840,000 ","  4,840,000 ",  -   ,3 ,"  4,840,000 ","  4,840,000 ",  -   ,3 ,"  4,058,700 "
60,กระบี่ อ่าวลึก อบต.อ่าวลึกเหนือ,กระบี่,อ่าวลึก,อบต.,อบต.อ่าวลึกเหนือ,1,"  9,971,600 ","  9,971,600 ",  -   ,1 ,"  9,971,600 ","  9,971,600 ",  -   ,2 ,"  9,990,300 "
61,กาญจนบุรี ด่านมะขามเตี้ย ทต.ด่านมะขามเตี้ย,กาญจนบุรี,ด่านมะขามเตี้ย,ทต.,ทต.ด่านมะขามเตี้ย,2,"  9,900,000 ","  9,900,000 ",  -   ,2 ,"  10,000,000 ","  10,000,000 ",  -   ,1 ,"  7,500,000 "
62,กาญจนบุรี ด่านมะขามเตี้ย อบต.กลอนโด,กาญจนบุรี,ด่านมะขามเตี้ย,อบต.,อบต.กลอนโด,6,"  38,168,500 ","  38,168,500 ",  -   ,6 ,"  38,168,500 ","  38,168,500 ",  -   ,3 ,"  19,962,200 "
